method,train_vocab_size,test_vocab_size,oov_rate,semantic_similarity,train_processing_time,test_processing_time,avg_token_length
regex,6755,2255,0.551219512195122,0.12653163290822705,0.02424454689025879,0.004291534423828125,6.28048712127582
razdel,6721,2239,0.5578383206788745,0.12421580928481807,0.5732135772705078,0.12240862846374512,4.051326952447206
nltk,6935,2318,0.5616911130284729,0.12334587835376958,0.4283468723297119,0.09697175025939941,4.282105458878813
spacy,7174,2423,0.5641766405282708,0.12363891815946611,24.1603045463562,5.962411403656006,4.890522292255866
naive,8243,2636,0.590288315629742,0.11021532809470354,0.0037682056427001953,0.0010094642639160156,8.006684576485462
