model,fragmentation_rate,compression_ratio,avg_processing_time,tokens_per_second,total_tokens,total_words
unigram,0.016224568632500644,0.3022730811147439,0.00022039413452148437,582864.876503678,12846,3883
bpe,0.039660056657223795,0.5284431137724551,0.00017070293426513672,430455.40087711945,7348,3883
sentencepiece_bpe,0.05691475663147051,0.5543974871501999,0.00014908790588378907,469789.95100108744,7004,3883
